mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__metric,param_model__n_neighbors,param_model__weights,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,split5_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,split5_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision_macro,split1_test_precision_macro,split2_test_precision_macro,split3_test_precision_macro,split4_test_precision_macro,split5_test_precision_macro,mean_test_precision_macro,std_test_precision_macro,rank_test_precision_macro,split0_train_precision_macro,split1_train_precision_macro,split2_train_precision_macro,split3_train_precision_macro,split4_train_precision_macro,split5_train_precision_macro,mean_train_precision_macro,std_train_precision_macro
0.05875249703725179,0.012001693506662425,0.6582470337549845,0.008454446433349984,manhattan,8,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'uniform'}",0.7043726235741445,0.7305133079847909,0.7165953399904897,0.7232524964336662,0.7313361864003805,0.7213504517356157,0.7212367343531811,0.009111080729915141,7,0.7892734880182579,0.7885127424876379,0.7933821431967291,0.7842540648473899,0.7869164210326138,0.7852049063421128,0.7879239609874569,0.0029954457791588705,0.7000857028759964,0.7267073524148323,0.7107171192892557,0.7173028111031421,0.7272951517602724,0.719310615689159,0.7169031255221098,0.009408907210171335,7,0.7874214854542373,0.7865030798197786,0.7916350018245865,0.782105731698265,0.7850709400869713,0.7828654102206175,0.7859336081840761,0.003158444752784276
0.06588482856750488,0.013060207835312919,0.6223816076914469,0.00794447332082376,manhattan,8,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 8, 'model__weights': 'distance'}",0.7124524714828897,0.7404942965779467,0.7284831193533048,0.738944365192582,0.7417974322396577,0.7375178316690443,0.7332815860859042,0.010258597778916096,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7081894598629122,0.7370209188479023,0.7221773542672579,0.7341763700381642,0.7379470011965713,0.7339511807943112,0.7289103808345199,0.010608737386614886,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.061509410540262856,0.008654132555074431,0.6704328457514445,0.016778199035375637,manhattan,10,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'uniform'}",0.7086501901140685,0.7324144486692015,0.7118402282453637,0.7194484070375654,0.7265810746552543,0.7208749405611032,0.7199682148804261,0.008102395252141292,9,0.7774819322936478,0.7794788893115253,0.7757915755443567,0.7800703622706094,0.7739849767043834,0.7756014072454122,0.7770681905616558,0.0021711399671730325,0.7043680428995204,0.7297774423271102,0.7056170041553304,0.7132666840791801,0.7226106034160378,0.718370769174482,0.7156684243419433,0.00902827900911344,9,0.7750662655392987,0.7771712262434782,0.7734049936467481,0.7775802450323127,0.7716994021204473,0.7728987883636009,0.7746368201576477,0.002177076148256944
0.06277700265248616,0.01434807582638587,0.6377582550048828,0.022513866466220046,manhattan,10,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 10, 'model__weights': 'distance'}",0.7129277566539924,0.7414448669201521,0.7237280076081788,0.7308606752258678,0.7384688540180694,0.7375178316690443,0.7308246653492175,0.009888410437198963,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7090741628231253,0.738282420560779,0.7175821426315744,0.7258770035219951,0.7344511849726868,0.7337030946514348,0.7264950015269326,0.010307823124211824,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.06514120101928711,0.014532623248033642,0.674308975537618,0.029556607964909068,manhattan,12,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'uniform'}",0.7086501901140685,0.7243346007604563,0.7099381835473134,0.7184973846885402,0.7308606752258678,0.7218259629101283,0.7190178328743958,0.00781670694342533,12,0.7686382655001902,0.7674020540129327,0.7673290862413236,0.7693258533802415,0.7702766948749643,0.7667585813444898,0.7682884225590237,0.0012381618840225028,0.704807079917926,0.7210587890795362,0.703536831289675,0.7118755921652118,0.7273676322710633,0.719400206658548,0.7146743552303269,0.008693432249341992,11,0.7657096982837979,0.7649309140883517,0.765036039644025,0.766917947651427,0.7674827223511747,0.764007895520867,0.7656808695899405,0.0011940789858207867
0.057725985844930015,0.002746864140814659,0.6283779541651408,0.007895178173367004,manhattan,12,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 12, 'model__weights': 'distance'}",0.7134030418250951,0.7390684410646388,0.7203994293865906,0.7332382310984308,0.7384688540180694,0.7384688540180694,0.7305078085684823,0.010018719980264193,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7095334377886519,0.7365816484024869,0.7147421162123825,0.7284378690861282,0.7348478631844253,0.7352135708977251,0.7265594175953001,0.010623080143197487,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05549375216166178,0.002972919350510365,0.6688931783040365,0.015599729984354268,manhattan,15,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'uniform'}",0.7029467680608364,0.7290874524714829,0.7137422729434142,0.717546362339515,0.7303851640513552,0.7208749405611032,0.7190971600712844,0.00933006280269834,11,0.7581780144541651,0.7613160897679726,0.7612437006750975,0.7612437006750975,0.758391176190929,0.7600076067319578,0.7600633814158698,0.0013360124146633884,0.6992992368097563,0.7254807567073492,0.7081430663392148,0.7110003734361747,0.7258653001950529,0.7177178831003304,0.7145844360979797,0.009519981219597457,12,0.7547782396883713,0.7590261138587956,0.7580735574496046,0.7586442733603832,0.7554593662446821,0.7577774389344663,0.7572931649227171,0.0015999899148524625
0.06762548287709554,0.022772486548720168,0.6488767862319946,0.01749319494594959,manhattan,15,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 15, 'model__weights': 'distance'}",0.7086501901140685,0.7338403041825095,0.7203994293865906,0.7384688540180694,0.7332382310984308,0.7398953875416072,0.7290820660568792,0.011089063544501019,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7052090172028658,0.7307172109007019,0.7139727237896382,0.7329404104483113,0.7291455875643982,0.7368115184032861,0.7247994113848669,0.011295108733112178,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.05550102392832438,0.00323132295196309,0.667462944984436,0.014555044601104359,manhattan,20,uniform,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'uniform'}",0.6953422053231939,0.7214828897338403,0.7123157394198764,0.7118402282453637,0.7261055634807418,0.7047075606276747,0.7119656978051152,0.01016261181044258,17,0.7461962723469,0.74581589958159,0.7480270038984501,0.7492630978415898,0.744318722069031,0.746981078254255,0.7467670123319694,0.0015857874302752388,0.6910805243440022,0.7176284348545682,0.7070750525213478,0.7042747938529155,0.7220583975497066,0.7016761824847959,0.7072988976012228,0.010233833145412619,17,0.7425877942799979,0.742529301822229,0.744372172088644,0.7456758380864449,0.7408202781070711,0.7439301089057786,0.7433192488816943,0.0015513009084972506
0.055463552474975586,0.0036750767650409414,0.6336861054102579,0.003265600038980446,manhattan,20,distance,"{'model__metric': 'manhattan', 'model__n_neighbors': 20, 'model__weights': 'distance'}",0.7076996197718631,0.7314638783269962,0.7208749405611032,0.7289586305278174,0.7398953875416072,0.7227769852591536,0.7252782403314235,0.010001013353280954,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7047987310249756,0.7284765502646897,0.7160246147459995,0.7231535299409837,0.7369514900791441,0.719790714879675,0.7215326051559113,0.01001650693129937,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
